year,nuts2,nuts3,objective_inequality_index,income_gap,access_to_services,poverty_risk_rate,perceived_injustice,perceived_unfairness,life_satisfaction,economic_optimism,civic_participation,voter_turnout,protest_activity,associational_membership,democratic_trust,institutional_trust,political_efficacy,corruption_perception,media_access_index,local_media_presence,digital_literacy,internet_coverage
2021,DED5,DED51,42.2,,,42.2,26.2,,67.1,80.6,80.1,81.9,82.9,75.6,36.7,12.7,6.8,9.4,59.2,32.5,82.9,62.2
2022,DED5,DED51,61.1,93.5,53.9,43.8,34.9,47.0,,77.2,80.3,82.7,80.1,78.1,37.2,13.5,3.7,5.7,57.8,35.2,80.3,
2023,DED5,DED51,60.1,90.9,50.5,39.9,33.6,49.1,70.5,77.7,79.8,81.4,78.2,,37.2,13.5,5.0,6.8,60.0,37.7,82.9,59.4
2024,DED5,DED51,42.9,,52.5,38.2,31.5,47.1,73.3,79.2,79.6,77.9,81.0,80.0,51.7,,7.8,4.4,60.6,35.8,85.4,
2025,DED5,DED51,72.4,93.9,49.1,,29.8,45.9,75.2,81.3,78.3,,79.6,77.1,55.1,,11.2,0.9,62.0,37.1,84.9,63.9
2026,DED5,DED51,66.1,93.4,,38.7,24.5,,73.5,77.4,78.2,76.7,79.6,,42.6,16.7,11.0,0.0,50.1,34.0,,66.3
2016,DED5,DED52,39.9,87.6,94.5,26.5,24.5,48.1,99.1,,81.6,81.6,,,10.9,3.3,0.6,71.2,25.0,21.5,53.2,0.3
2017,DED5,DED52,53.3,83.9,,22.7,44.7,45.1,97.2,13.9,31.5,81.2,11.5,1.9,12.0,4.4,0.0,68.3,18.4,18.4,,
2018,DED5,DED52,36.4,80.3,93.3,22.2,44.2,44.2,,,30.9,82.7,10.0,0.0,0.0,,0.0,,24.1,,47.2,1.0
2019,DED5,DED52,35.5,77.1,92.4,21.7,44.5,43.7,95.5,14.6,32.8,86.0,12.4,0.0,18.3,5.1,,68.6,23.1,19.4,49.9,0.0
2020,DED5,DED52,52.4,79.5,,25.2,21.5,40.8,97.8,,35.5,87.3,16.2,3.0,20.2,6.7,,66.2,23.1,18.6,50.2,0.5
2021,DED5,DED52,39.5,82.8,90.4,26.1,61.0,41.2,,19.3,34.1,85.4,15.9,1.0,18.6,,4.2,66.9,10.3,20.7,,0.0
2022,DED5,DED52,41.2,86.1,87.1,24.6,22.6,45.1,100.0,,7.2,,12.7,1.7,7.6,9.8,5.4,,23.7,17.8,50.0,3.2
2023,DED5,DED52,19.1,,86.5,24.7,63.2,44.4,,18.0,34.0,85.2,11.2,5.7,29.3,,,70.7,23.8,19.0,52.5,0.0
2024,DED5,DED52,37.4,80.9,90.3,21.5,40.6,,99.3,19.6,33.9,85.2,12.3,4.1,17.5,,2.8,67.8,10.1,20.1,,0.0
2025,DED5,DED52,44.5,81.0,91.9,,43.8,49.2,96.1,21.6,85.8,85.8,,,14.4,7.3,1.5,65.7,22.9,19.6,49.1,0.0
2026,DED5,DED52,46.9,84.9,91.1,,40.6,47.1,99.8,25.4,48.3,88.1,8.5,,20.4,9.8,,69.1,25.2,,50.5,0.0
2016,DED5,DED53,31.8,16.7,71.2,49.9,49.8,80.2,52.9,77.8,51.4,5.6,52.7,95.9,48.0,71.7,66.3,94.0,31.0,13.0,71.3,8.7
2017,DED5,DED53,38.4,,74.1,50.9,63.7,76.3,48.9,,3.2,3.2,,,34.2,,63.4,95.1,33.0,16.6,70.4,11.9
2018,DED5,DED53,31.2,17.1,78.0,54.4,61.8,75.5,52.0,,49.3,1.2,,97.4,39.9,71.9,,92.2,32.5,15.0,72.6,9.9
2019,DED5,DED53,31.5,17.1,80.2,57.6,39.0,,48.0,74.1,25.0,2.9,47.1,,47.4,73.3,59.0,90.1,33.6,18.8,69.3,12.8
2020,DED5,DED53,31.9,13.3,77.0,59.3,51.4,77.4,49.3,73.8,73.1,,50.7,95.4,37.4,,61.3,86.4,31.1,15.4,66.9,10.9
2021,DED5,DED53,56.4,,,56.4,50.2,74.0,,73.6,50.9,5.2,50.2,97.3,66.4,73.6,59.3,,37.2,,64.3,10.1
2022,DED5,DED53,32.0,11.7,71.0,55.3,49.2,75.4,51.2,76.7,73.4,,48.3,98.6,66.2,71.4,61.0,,29.7,13.3,66.8,8.9
2023,DED5,DED53,12.5,12.5,,,35.7,,54.7,73.9,49.1,1.7,49.9,95.7,49.5,69.3,60.4,81.1,30.8,12.5,68.4,11.4
2024,DED5,DED53,32.3,12.7,69.6,53.9,62.8,78.8,53.3,,74.2,,50.8,97.5,37.5,,59.2,84.2,29.9,13.8,67.6,8.2
2025,DED5,DED53,21.6,11.2,68.0,,65.3,80.0,49.4,,74.2,,53.6,94.8,48.0,71.8,56.2,84.0,38.1,,69.4,6.8
2026,DED5,DED53,34.0,14.4,67.9,55.6,66.2,79.8,47.5,,50.5,4.7,52.7,94.2,46.9,70.3,52.4,82.0,69.8,,69.8,
2016,DEE0,DEE01,36.3,22.5,59.9,46.4,51.9,91.0,,87.2,85.8,77.0,88.0,92.4,79.7,71.1,,11.8,50.1,66.1,62.2,22.0
2017,DEE0,DEE01,36.3,18.8,59.0,49.2,38.0,90.1,88.5,87.6,81.9,75.3,,88.5,,,,,48.4,66.6,59.4,19.2
2018,DEE0,DEE01,37.5,22.6,61.8,51.8,51.0,88.1,,86.1,90.3,,89.9,90.8,55.3,73.8,36.9,,48.7,64.9,63.0,18.3
2019,DEE0,DEE01,39.7,25.2,61.4,55.4,36.5,85.9,87.7,88.8,86.5,76.9,90.7,91.8,67.0,73.4,36.7,9.1,64.4,67.7,61.1,
2020,DEE0,DEE01,55.5,,,55.5,35.5,82.4,88.5,87.3,87.4,78.9,94.0,89.4,55.3,77.1,33.5,,,,,
2021,DEE0,DEE01,41.8,29.2,63.0,59.2,35.2,83.6,90.9,87.0,87.5,78.5,92.1,91.8,66.8,78.1,33.9,11.5,49.9,70.3,57.8,21.6
2022,DEE0,DEE01,,,,,36.0,85.2,92.3,85.0,84.5,77.1,,91.9,68.9,80.5,35.4,9.3,62.5,66.9,58.1,
2023,DEE0,DEE01,40.7,28.2,65.4,59.3,37.8,86.2,89.2,83.5,87.5,80.5,,94.4,71.5,84.4,37.9,7.8,45.0,69.5,,20.5
2024,DEE0,DEE01,30.5,28.5,67.4,,39.0,88.6,91.9,79.7,90.3,,85.3,95.4,64.0,,34.5,6.6,22.5,,,22.5
2025,DEE0,DEE01,39.2,32.2,69.2,54.5,40.6,91.8,89.1,80.9,87.0,81.7,87.4,91.8,69.3,84.0,32.9,9.0,51.1,73.7,59.8,19.9
2026,DEE0,DEE01,43.2,,71.1,57.5,39.5,90.4,88.0,83.8,85.1,78.9,86.0,90.4,71.4,83.3,36.2,5.2,50.3,73.0,60.3,17.7
2016,DEE0,DEE02,23.4,,76.6,,29.1,7.9,98.2,22.4,41.8,57.9,1.9,65.6,58.2,84.0,86.7,96.0,49.1,75.6,22.6,
2017,DEE0,DEE02,25.6,,72.8,23.9,30.9,10.3,94.7,23.0,29.2,57.2,1.1,,57.5,84.0,87.2,98.6,47.0,74.0,20.6,46.5
2018,DEE0,DEE02,43.8,84.6,75.8,22.6,79.3,,,20.7,39.7,56.5,0.0,62.6,84.1,80.6,87.6,,62.2,75.3,,49.1
2019,DEE0,DEE02,45.4,87.3,74.7,23.6,33.4,13.1,92.5,20.3,40.7,59.9,3.0,59.2,76.8,76.8,,,33.9,,20.2,47.5
2020,DEE0,DEE02,,,,,34.0,15.6,89.6,24.0,40.3,56.6,4.3,60.0,54.9,73.2,87.4,95.8,49.3,,,49.3
2021,DEE0,DEE02,44.4,87.7,75.4,20.8,16.2,18.6,86.3,,39.3,56.7,4.6,56.7,55.2,74.6,90.1,99.1,32.2,,18.9,45.5
2022,DEE0,DEE02,43.1,84.6,76.0,20.7,37.2,21.1,85.5,24.1,28.6,55.5,1.6,,83.7,73.9,93.4,,49.9,82.0,20.9,46.8
2023,DEE0,DEE02,46.2,88.5,74.6,24.7,47.8,20.8,,25.3,27.9,,0.0,55.8,47.9,,91.4,95.7,48.4,79.0,17.6,48.6
2024,DEE0,DEE02,46.4,89.2,76.7,26.7,38.8,21.2,80.0,24.9,28.6,57.1,0.0,,84.2,78.5,89.8,,61.8,76.9,,46.6
2025,DEE0,DEE02,45.7,91.0,78.5,24.6,39.3,22.4,76.4,28.1,38.3,57.0,0.0,57.9,83.9,76.1,91.7,,42.6,73.3,11.7,42.8
2026,DEE0,DEE02,58.6,92.2,75.0,,38.5,19.7,76.8,27.5,56.5,55.3,,57.6,84.6,76.7,92.4,,40.2,70.1,10.2,40.4
2016,DEE0,DEE03,40.2,3.5,28.0,45.1,79.6,94.7,33.7,22.2,55.9,33.7,78.0,,50.7,73.3,0.7,22.0,40.6,72.6,16.0,33.1
2017,DEE0,DEE03,42.0,6.1,26.6,46.5,66.4,,33.6,,66.0,32.4,75.6,90.0,49.2,69.4,0.0,21.8,42.7,73.2,19.7,35.3
2018,DEE0,DEE03,75.9,,24.1,,88.0,95.1,,19.1,51.6,30.0,73.3,,47.5,67.0,0.0,24.5,47.3,73.5,21.1,
2019,DEE0,DEE03,37.4,2.7,28.0,,83.6,99.0,30.0,18.2,53.4,34.0,72.7,,72.8,69.5,,23.8,40.4,70.8,18.1,32.4
2020,DEE0,DEE03,24.8,2.3,,47.4,82.2,99.3,31.5,21.3,69.5,,69.5,,0.0,,0.0,,39.6,68.9,17.6,32.4
2021,DEE0,DEE03,37.4,2.6,27.7,,80.1,98.3,35.4,22.5,77.2,,72.6,81.7,50.1,71.9,0.0,21.7,37.9,65.2,15.6,32.9
2022,DEE0,DEE03,45.5,,,45.5,79.7,95.6,36.8,19.6,31.0,31.0,,,49.7,71.2,0.4,22.6,24.0,,15.9,32.1
2023,DEE0,DEE03,59.6,,28.7,47.9,88.8,94.5,,16.9,60.2,27.0,73.8,79.7,49.6,72.8,0.0,24.0,36.6,60.8,15.6,33.4
2024,DEE0,DEE03,39.8,0.0,25.9,45.2,89.9,93.1,,13.3,55.6,27.9,,83.3,50.5,71.6,0.8,20.8,38.1,61.4,16.3,36.7
2025,DEE0,DEE03,42.5,2.2,23.0,48.2,74.0,,40.4,11.5,63.4,26.7,77.0,86.6,52.3,70.7,3.4,17.2,59.4,59.4,,
2026,DEE0,DEE03,41.8,0.0,25.6,51.1,78.7,94.5,37.2,,65.1,26.5,80.8,88.1,40.1,73.1,7.2,,38.3,57.4,20.4,37.0
2016,DEE0,DEE04,50.0,3.5,3.5,,55.5,44.2,62.6,15.0,70.5,91.2,41.7,78.7,71.5,85.4,53.4,24.2,78.0,95.8,,60.3
2017,DEE0,DEE04,34.5,0.4,0.0,3.2,53.5,43.1,64.4,18.1,65.7,90.2,41.2,,83.2,83.2,,,61.1,96.0,26.3,
2018,DEE0,DEE04,51.1,2.3,0.0,,52.3,41.7,67.8,17.1,83.5,88.2,,78.7,71.4,82.3,55.3,23.3,76.4,94.3,,58.5
2019,DEE0,DEE04,1.3,1.6,,1.0,57.5,,68.9,16.0,64.2,,45.9,82.5,70.5,82.5,51.6,22.5,58.6,91.7,25.0,59.1
2020,DEE0,DEE04,49.3,,4.9,3.5,60.1,,65.4,14.3,88.2,91.5,,84.9,68.9,80.7,49.5,23.4,59.5,93.4,25.6,
2021,DEE0,DEE04,49.0,0.0,2.1,,50.2,35.8,67.8,17.3,87.7,,,87.7,70.8,80.8,51.0,19.5,77.5,95.0,,60.1
2022,DEE0,DEE04,34.0,0.5,0.0,1.4,51.4,35.8,64.9,16.8,71.0,89.8,52.1,,69.7,79.0,50.9,20.9,41.1,,24.7,57.5
2023,DEE0,DEE04,50.5,,0.8,1.7,62.7,39.2,,13.8,75.6,88.4,49.7,88.8,64.3,,50.5,21.8,61.5,99.5,23.5,
2024,DEE0,DEE04,50.5,3.7,2.7,,53.7,40.3,64.7,14.4,87.7,89.2,,86.1,64.3,,50.1,21.4,61.5,99.0,22.6,62.8
2025,DEE0,DEE04,35.9,7.6,0.0,0.0,50.6,38.0,68.7,17.4,77.6,89.2,53.7,89.8,79.9,78.7,,18.9,58.9,95.9,21.8,
2026,DEE0,DEE04,34.6,6.6,2.7,0.0,62.1,38.9,,14.7,77.1,85.9,53.7,91.8,80.2,81.0,,20.5,40.1,,21.8,58.4
2016,DEE0,DEE05,46.7,67.9,81.4,53.5,58.6,74.2,77.9,20.4,60.8,57.6,64.0,,31.8,78.5,6.1,89.1,20.8,10.7,30.9,
2017,DEE0,DEE05,46.6,70.3,81.7,51.2,52.1,,76.7,19.1,69.4,57.7,62.0,88.4,31.3,78.1,6.4,90.5,15.0,12.8,29.7,2.6
2018,DEE0,DEE05,45.5,70.5,85.1,51.0,55.3,,72.8,16.6,69.7,55.2,62.2,91.6,3.3,,3.3,,12.8,9.1,27.7,1.7
2019,DEE0,DEE05,39.9,66.6,86.8,,79.1,74.2,,16.0,68.9,51.4,64.0,91.4,6.1,,,93.9,10.8,5.1,25.8,1.6
2020,DEE0,DEE05,31.4,,86.8,49.5,59.0,71.6,78.7,15.9,69.4,48.5,65.2,94.4,0.0,,0.0,,10.5,8.9,22.5,0.0
2021,DEE0,DEE05,42.4,67.1,87.4,47.5,59.9,74.8,79.0,16.2,70.0,52.0,62.7,95.2,26.1,75.8,0.0,97.4,11.1,5.6,24.5,3.3
2022,DEE0,DEE05,44.3,67.0,85.1,51.0,49.4,,81.4,19.8,76.0,,60.1,91.9,1.0,,,99.0,9.6,3.6,24.0,1.3
2023,DEE0,DEE05,41.6,63.4,86.2,47.7,48.2,76.0,79.5,,65.6,49.5,58.3,88.9,26.8,74.6,4.9,99.2,10.1,5.7,21.4,3.2
2024,DEE0,DEE05,42.1,66.9,85.2,44.5,46.4,73.2,80.5,,72.2,,58.8,85.5,42.0,77.2,6.7,,9.7,8.2,18.5,2.3
2025,DEE0,DEE05,54.8,63.9,,45.8,47.2,73.7,79.2,,67.5,52.5,,82.5,4.5,,4.5,,5.1,8.3,,1.9
2026,DEE0,DEE05,40.9,66.6,84.7,,62.1,75.1,77.3,11.4,63.1,52.8,55.3,81.2,30.0,83.0,3.9,96.9,8.1,9.8,11.5,3.1
2016,DEE0,DEE06,28.2,31.8,50.0,2.8,89.4,,20.0,1.2,18.6,,18.6,,34.8,4.3,23.3,23.1,60.0,,87.3,32.6
2017,DEE0,DEE06,0.0,,,0.0,79.0,,21.0,,45.3,46.6,14.8,74.4,34.6,7.5,20.9,24.5,35.4,35.4,,
2018,DEE0,DEE06,26.6,30.2,50.5,0.0,62.6,7.3,19.6,0.0,30.2,45.5,14.9,,16.3,10.8,21.8,,54.3,33.6,91.3,38.0
2019,DEE0,DEE06,16.6,33.0,,0.2,62.7,9.0,18.9,2.1,29.0,41.9,16.1,,14.9,8.2,21.6,,65.2,,91.0,39.5
2020,DEE0,DEE06,17.9,35.8,,0.0,60.7,5.9,20.8,3.0,,,,,37.0,7.5,22.8,19.3,55.2,35.1,88.7,41.7
2021,DEE0,DEE06,17.6,33.0,,2.3,58.4,4.3,22.8,6.4,44.8,,16.1,73.5,38.8,6.9,26.2,16.7,54.5,34.6,88.0,40.8
2022,DEE0,DEE06,42.5,34.2,49.1,,60.0,6.2,21.2,4.9,52.2,52.2,,,4.7,4.7,,,62.5,38.0,87.0,
2023,DEE0,DEE06,29.5,34.6,49.0,2.8,80.0,,20.0,,48.0,52.3,17.6,74.2,39.4,6.3,29.7,17.9,52.8,35.8,85.1,37.6
2024,DEE0,DEE06,27.7,32.0,48.9,0.0,58.0,8.0,23.8,10.3,46.3,,17.6,75.1,36.9,2.7,26.8,18.7,64.1,39.2,89.0,
2025,DEE0,DEE06,14.4,28.9,,0.0,40.8,6.2,24.7,,48.2,50.9,20.6,73.1,36.4,2.3,23.9,16.9,55.9,40.0,92.4,35.4
2026,DEE0,DEE06,29.2,28.8,43.6,2.5,58.5,3.2,21.9,5.8,49.8,51.6,24.3,73.6,35.5,1.1,24.2,18.8,35.0,37.1,,32.8
2016,DEE0,DEE07,67.5,17.6,3.1,88.1,64.0,86.1,78.5,15.7,68.1,79.8,24.6,99.9,69.8,57.7,81.9,,84.3,77.7,88.2,86.9
2017,DEE0,DEE07,67.8,19.5,2.1,85.9,63.3,83.3,75.8,17.7,68.3,82.8,25.6,96.6,72.2,59.0,85.3,,84.5,78.3,88.4,86.9
2018,DEE0,DEE07,68.0,22.6,1.5,82.9,83.7,82.3,,14.9,69.9,82.7,28.4,98.7,39.0,61.3,,83.2,83.2,78.8,87.8,83.1
2019,DEE0,DEE07,70.0,26.2,0.6,84.3,64.0,82.0,76.8,13.3,68.7,80.3,25.7,100.0,50.9,,87.7,85.9,82.0,75.7,87.5,82.7
2020,DEE0,DEE07,97.6,,2.4,,63.0,84.6,79.9,15.6,60.3,,22.4,98.2,54.1,58.4,86.6,82.8,83.4,,85.3,81.5
2021,DEE0,DEE07,69.3,25.1,5.0,87.9,60.9,85.4,83.3,19.5,82.9,82.9,,,73.0,61.9,84.1,,81.7,,85.4,78.0
2022,DEE0,DEE07,67.6,22.0,7.0,87.7,61.5,84.9,83.2,17.1,92.0,85.4,,98.5,53.1,58.4,86.1,85.2,81.8,81.5,86.6,77.2
2023,DEE0,DEE07,69.4,25.9,6.5,88.7,52.4,85.6,80.8,,84.4,84.4,,,75.7,62.2,89.2,,79.6,79.1,85.6,74.2
2024,DEE0,DEE07,88.9,,10.1,87.9,21.8,,78.2,,88.8,82.2,,95.5,37.8,65.4,,89.8,79.3,,82.9,75.8
2025,DEE0,DEE07,92.0,,6.5,90.6,52.0,80.6,76.5,,56.8,84.2,29.4,,55.3,67.3,89.5,90.9,80.1,77.7,83.5,79.1
2026,DEE0,DEE07,67.8,21.8,7.4,88.9,62.5,83.7,78.3,17.9,72.4,87.9,31.1,98.1,54.4,64.9,86.0,87.7,79.2,79.5,79.8,78.4
2016,DEE0,DEE08,12.7,,89.7,15.1,59.1,,78.5,3.3,68.1,38.1,99.8,66.3,11.3,23.6,5.2,94.9,57.5,,60.4,54.6
2017,DEE0,DEE08,11.6,,89.6,12.8,27.3,33.1,78.4,,67.7,41.1,98.8,63.2,13.8,21.7,6.0,,58.9,66.8,,51.0
2018,DEE0,DEE08,10.1,,90.8,11.0,62.6,29.3,,4.0,67.9,40.0,96.9,66.8,5.9,,3.6,91.7,57.4,64.6,59.3,48.4
2019,DEE0,DEE08,55.4,99.0,,11.7,45.8,25.5,82.0,6.1,67.0,40.5,97.0,63.4,10.6,21.3,4.1,93.6,52.3,,59.3,45.4
2020,DEE0,DEE08,56.9,100.0,86.2,,58.5,25.6,,8.7,66.5,42.1,95.2,62.3,3.6,,3.6,,56.6,68.9,,44.3
2021,DEE0,DEE08,11.9,,87.9,11.7,45.4,27.2,80.4,10.6,67.5,40.7,98.4,63.5,11.5,26.5,1.6,93.5,57.4,69.1,,45.8
2022,DEE0,DEE08,39.2,98.2,88.9,8.4,24.0,26.8,78.7,,79.0,,95.9,62.0,11.3,26.3,1.7,94.1,56.8,69.0,59.3,42.1
2023,DEE0,DEE08,52.6,99.5,,5.8,46.2,26.8,79.1,9.0,67.6,40.9,98.5,63.3,13.6,28.9,4.1,92.3,57.7,68.6,62.8,41.7
2024,DEE0,DEE08,38.0,100.0,91.3,5.2,23.0,,77.0,,67.5,37.0,98.0,,11.6,25.6,2.5,93.2,67.5,72.1,63.0,
2025,DEE0,DEE08,2.4,,,2.4,49.6,30.6,77.0,4.8,49.3,37.3,,61.3,12.0,26.2,2.4,92.7,66.5,,66.5,
2026,DEE0,DEE08,34.6,96.8,93.7,0.8,19.8,,80.2,,67.3,37.2,99.7,65.0,12.7,26.0,6.0,93.8,60.7,78.4,,43.0
2016,DEE0,DEE09,37.6,14.2,22.9,21.6,39.9,72.0,61.8,90.4,93.1,98.7,87.4,,38.1,51.1,24.1,60.9,30.6,80.3,9.5,1.9
2017,DEE0,DEE09,46.0,16.4,24.5,,38.6,73.5,65.4,92.2,88.8,99.1,86.4,80.8,22.3,,22.3,,42.4,79.1,5.8,
2018,DEE0,DEE09,48.4,18.2,21.5,,54.1,75.5,67.3,,,,,,33.8,,25.7,58.2,1.6,,3.3,0.0
2019,DEE0,DEE09,21.0,20.3,,21.7,20.4,,66.8,92.4,87.4,96.3,86.6,79.2,41.1,56.7,24.1,57.4,75.8,75.8,,
2020,DEE0,DEE09,40.4,20.8,20.6,21.0,18.9,,66.2,95.9,86.5,96.8,85.9,76.7,39.4,55.8,21.5,59.1,0.9,,0.0,1.8
2021,DEE0,DEE09,22.8,23.0,,22.5,35.9,70.1,64.0,98.5,89.8,93.3,86.2,,40.2,53.5,23.7,56.7,37.6,75.3,,0.0
2022,DEE0,DEE09,25.9,26.0,,25.8,50.8,66.2,64.7,,85.6,93.7,84.3,78.9,23.3,,23.3,,26.6,78.3,1.5,0.0
2023,DEE0,DEE09,40.7,25.8,30.3,26.6,18.8,,62.4,100.0,83.6,,87.1,80.1,40.9,55.4,21.9,54.5,29.4,82.2,2.6,3.5
2024,DEE0,DEE09,26.1,24.5,,27.8,39.6,,60.4,,82.8,,86.9,78.7,40.1,58.9,21.4,,28.8,83.7,2.8,0.0
2025,DEE0,DEE09,44.4,20.5,31.7,,36.0,69.0,61.9,99.0,86.0,98.6,83.9,75.6,31.8,,17.4,53.7,29.9,84.5,5.2,0.0
2026,DEE0,DEE09,37.5,21.1,33.8,25.1,36.7,66.6,60.9,95.5,79.5,,81.3,77.7,40.9,58.7,19.7,55.7,41.0,82.0,,0.0
2016,DEE0,DEE0A,38.0,41.5,65.6,,57.5,42.9,,27.8,45.0,34.0,11.2,89.9,48.0,70.3,66.0,92.4,41.4,41.4,,
2017,DEE0,DEE0A,34.5,38.0,69.1,,48.6,46.4,71.4,29.2,44.5,32.8,10.9,89.7,47.0,70.8,64.2,94.0,53.5,37.5,22.9,100.0
2018,DEE0,DEE0A,25.1,40.6,69.6,4.4,61.0,47.9,,26.0,50.2,,7.9,92.5,,,,,70.3,41.2,,99.4
2019,DEE0,DEE0A,34.1,39.7,71.6,,26.8,,73.2,,42.5,29.2,5.0,93.2,46.8,70.4,64.4,94.3,55.8,44.7,22.7,100.0
2020,DEE0,DEE0A,20.1,36.1,,4.1,48.4,48.1,76.2,26.7,42.4,29.9,1.1,96.2,43.8,67.2,61.7,97.4,56.3,47.9,21.1,100.0
2021,DEE0,DEE0A,31.9,,68.1,,47.0,48.3,79.0,28.3,16.4,31.7,1.1,,62.5,66.7,58.3,,56.6,49.0,20.9,100.0
2022,DEE0,DEE0A,28.4,42.5,64.3,7.1,50.3,51.4,76.1,24.4,40.1,28.7,0.0,91.6,64.3,66.9,61.8,,57.9,51.0,22.7,100.0
2023,DEE0,DEE0A,28.5,44.7,68.0,8.9,65.5,52.7,,21.8,40.1,28.1,1.6,90.6,41.6,66.5,58.3,100.0,33.9,47.1,20.6,
2024,DEE0,DEE0A,36.1,43.2,71.1,,52.6,54.7,77.9,19.1,15.6,31.2,0.0,,65.0,69.8,60.3,,58.2,,21.6,94.9
2025,DEE0,DEE0A,39.2,39.2,,,54.2,52.7,74.7,15.5,17.4,32.7,2.1,,64.3,,64.3,,54.7,48.2,19.1,96.7
2026,DEE0,DEE0A,21.9,39.4,76.6,2.8,71.2,55.3,,13.0,16.1,29.0,3.1,,67.2,67.6,66.9,,55.6,50.5,20.3,95.9
2016,DEE0,DEE0B,41.4,,36.5,19.2,69.3,89.5,68.8,12.8,82.9,78.1,75.5,95.0,49.6,74.8,37.0,62.9,32.5,2.8,42.2,52.4
2017,DEE0,DEE0B,48.9,33.4,35.6,,69.5,87.5,67.1,12.0,81.2,76.5,75.3,91.7,46.9,72.6,34.7,66.7,31.5,0.0,44.7,49.9
2018,DEE0,DEE0B,24.2,30.8,,17.6,31.3,,68.7,,83.1,76.7,77.8,94.7,46.0,70.7,34.8,67.6,31.4,3.1,42.6,48.4
2019,DEE0,DEE0B,38.2,32.8,36.9,18.8,67.7,87.1,68.8,15.2,84.2,77.0,78.2,97.3,42.9,67.5,31.0,69.7,31.8,5.7,44.8,45.0
2020,DEE0,DEE0B,39.2,,40.6,19.0,68.0,88.6,66.8,17.9,88.0,75.9,,100.0,46.0,63.6,28.4,,26.7,9.6,,43.8
2021,DEE0,DEE0B,35.4,25.8,41.9,22.4,84.7,87.1,,17.7,86.8,75.7,84.7,100.0,43.9,66.8,30.9,66.0,46.8,,45.8,47.7
2022,DEE0,DEE0B,36.9,28.7,43.7,25.6,68.1,84.8,66.5,13.9,87.4,74.5,87.7,100.0,32.2,,30.6,66.3,29.1,10.5,,47.7
2023,DEE0,DEE0B,37.5,25.9,41.2,27.8,66.7,83.7,69.9,13.8,86.2,71.3,87.2,100.0,43.8,67.0,33.3,68.9,29.2,12.4,46.0,
2024,DEE0,DEE0B,37.8,22.8,37.5,28.1,67.6,80.9,67.7,10.5,86.6,72.4,87.3,100.0,51.1,70.4,,68.2,46.6,,43.8,49.4
2025,DEE0,DEE0B,39.0,25.0,34.0,25.9,66.4,82.8,71.1,12.4,85.5,70.4,86.0,100.0,52.8,68.1,37.6,,36.5,16.6,42.8,50.1
2026,DEE0,DEE0B,46.7,24.3,30.9,,64.4,79.9,73.8,12.8,85.5,71.0,,100.0,32.5,,34.5,69.4,35.6,16.2,42.4,48.1
2016,DEE0,DEE0C,65.9,58.0,26.2,,45.0,21.7,84.5,2.1,16.0,16.0,,,67.0,36.2,,2.3,,,,
2017,DEE0,DEE0C,75.6,59.3,23.7,91.2,46.1,24.8,84.3,2.1,28.5,18.1,46.5,20.8,53.5,37.5,23.1,0.2,70.6,59.6,65.7,86.4
2018,DEE0,DEE0C,76.5,61.9,25.1,92.8,17.0,,83.0,,24.7,,,24.7,51.8,34.3,23.0,2.0,70.8,60.7,68.4,83.4
2019,DEE0,DEE0C,77.2,63.3,24.3,92.6,64.7,29.6,,0.3,32.5,18.2,52.4,26.9,32.0,37.7,26.3,,70.8,64.0,65.3,83.1
2020,DEE0,DEE0C,79.1,64.9,21.5,94.0,49.9,31.3,80.4,1.1,32.8,15.6,56.2,26.7,54.4,37.7,26.6,1.2,76.7,66.5,,86.9
2021,DEE0,DEE0C,71.4,64.9,22.1,,59.5,,79.8,1.3,42.3,,59.9,24.7,52.3,34.0,23.5,0.7,73.7,69.4,68.8,83.0
2022,DEE0,DEE0C,80.0,67.2,21.8,94.7,68.1,37.4,,1.2,31.7,9.2,62.2,23.6,51.8,30.8,26.4,1.8,70.2,71.0,69.5,
2023,DEE0,DEE0C,79.4,69.1,23.3,92.5,,,,,30.8,9.1,62.1,21.3,26.6,27.5,25.8,,74.7,68.8,66.9,88.5
2024,DEE0,DEE0C,79.5,71.5,26.6,93.6,49.5,34.0,82.1,3.3,29.6,6.5,62.6,19.8,26.2,26.2,26.2,,74.4,70.5,67.0,85.7
2025,DEE0,DEE0C,92.9,,,92.9,49.5,32.1,81.5,2.1,29.8,9.7,61.2,18.5,60.1,22.7,,2.4,68.7,,68.7,
2026,DEE0,DEE0C,71.7,70.5,27.1,,63.1,32.3,,6.0,30.6,9.7,60.6,21.4,61.6,,29.2,5.9,73.5,71.5,66.1,83.0
2016,DEE0,DEE0D,32.2,0.8,36.4,,38.9,90.3,84.6,89.1,52.3,19.7,60.3,77.0,26.2,43.7,8.7,,46.8,47.5,55.5,37.4
2017,DEE0,DEE0D,43.7,2.1,37.6,66.6,39.1,87.9,81.4,89.1,40.5,21.9,59.0,,26.8,43.7,9.8,,45.5,,56.9,34.1
2018,DEE0,DEE0D,63.1,,37.0,63.3,40.3,89.1,79.5,88.8,51.0,25.4,57.1,70.5,42.9,41.6,12.1,24.9,45.2,49.8,53.2,32.6
2019,DEE0,DEE0D,30.7,1.6,,59.7,40.3,92.0,82.3,88.7,51.6,28.9,58.9,67.1,58.4,38.6,,21.8,46.4,53.6,50.8,34.9
